Immune Genes（来源：https://tcia.at/home）	Act CD4 T cell	Tem CD4 T cell	Central memory CD4 T cell	Act CD8 T cell	Tem CD8 T cell	Central memory CD8 T cell	γδ T cell	Th1 helper cell	Th2 helper cell	Th17 helper cell	Treg	T follicular helper cell	MHC	CP	MDSC	Angiogenesis	CP（免疫检查点相关）
ZNF645	TRAT1	ZCRB1	XRCC6	ZAP70	TRIB2	ULBP1	RPS9	ZEB2	TMPRSS3	TNIP2	STAB1	TYRO3	B2M	PDCD1	S100A9	CEACAM1	PDCD1
ZNF165	SELL	WIPF1	VIM	TIMM13	SIK1	UBA52	RPS7	TRAF3IP2	RNF125	SH2D6	ST8SIA4	SIGLEC9	TAP1	"CTLA4	"	S100A8	CSF2	CTLA4
ZEB2	SAMSN1	USP9Y	TRADD	PTRH2	SETD7	TOX4	RPS24	TRAF1	RBMS3	LONRF3	PTGIR	SIGLEC7	TAP2	LAG3	PTGES2	CTNB1	LAG3
ZCRB1	RTKN2	UQCRB	STX4	PIK3IP1	NFKBIA	TNFRSF11A	MPL	TNFRSF1A	RAB27B	ILDR1	PRSS23	RAET1E	"HLA-A	"	TIGIT	PTGER2	ECGF1	TIGHT
ZCCHC2	RGS1	TPK1	SMAD4	NKG7	LTK	SIGLEC1	MINPP1	TLR8	PLA2G4A	IL23A	PLEK	RAE1	HLA-B	HAVCR2	PSAP	EDN1	HAVCR2
ZAP70	PSAT1	TIPIN	SIRPG	MPZL1	LIME1	RNF128	MFAP3L	TIGIT	PHLDA1	IL17RE	PELO	PRDX1	HLA-C	CD274	PARVG	ENG	CD274
YBX2	PRC1	TFEC	SFXN3	LCK	IFI16	RARA	MEIS3P1	THUMPD2	PDE4B	IL17RC	MS4A6A	PDCD6	HLA-DPA1	PDCD1LG2	ITGAM	ENPEP	PDCD1LG2
XRCC6	NUF2	TAL1	PKM2	IL2RB	HLA-DPB1	NTRK1	MAPK7	TBX21	OSBPL1A	IL17RA	MRC1	PDCD1LG2	HLA-DPB1	CD27	ITGAL	ERB2	CD27
XPO6	KNTC1	SIGLEC6	NDUFB9	GZMK	HLA-DPA1	NOL11	LMNB1	STAC	NRP2	IL17F	MNDA	PDCD1	HLA-E	ICOS	IL4R	EREG	ICOS
XAGE5	KIF11	SIGLEC14	LSP1	GZMH	HLA-DMB	IL1RN	LGALS1	SLC35B3	LAMP3	IL17C	MMP12	NRP1	HLA-F	IDO1	IL18BP	FOXO1A	IDO1
XAGE3	ITK	SDPR	KLF5	GZMA	HAPLN3	GUSB	LCORL	SKAP1	LAIR2	IL17A	MARCO	NCR2			GPSM3	MMP9	
XAGE2	IARS	SCG2	ITGB2	GPT2	GZMM	GM2A	LAMC1	SIT1	IL26	IFT80	LRRC42	NCAM1			FERMT3	IGF1	
XAGE1D	EXOC6	REPS1	ITGB1	GNLY	FLT3LG	GLUD1	KRT80	SIGLEC10	HELLS	GPR44	LRP1	MICA			FCGR3A	IHH	
WNT5B	EXO1	PTGS1	IFITM2	GEMIN6	FCRL6	FKBP4	KLRF1	SH3KBP1	GSTA4	CEACAM3	LIPA	MC5R			FCGR2B	MAP2K1	
WIPF1	ETS1	PDGFRL	GSS	CSE1L	DAPP1	FGF7	KLHL7	SELP	GNAI1	CD40	L1CAM	LRRC32			FCGR2A	PF4	
VTCN1	ESCO2	NEFL	GLIPR1	CETN3	CMKLR1	FCGR3B	IL10RB	SELE	GATA3	CCR9	ITGA4	LGMN			CXCR4	RAF1	
VNN3	DUSP2	NCOA4	FYN	CD8A	CFLAR	FCER1G	FADD	SAV1	EVI5	CCDC65	FOXP3	IVNS1ABP			CD86	REN	
VNN2	CCR7	IL34	ELMO2	CD69	CD55	F13A1	FABP5	RYR1	DUSP6	CAMTA1	CLEC5A	GPR18			CD2	SERPINE1	
VNN1	CCNB1	GDE1	CYLD	CD3G	CD160	ADCY9	FABP1	RGS16	DNAJC12	CA2	CD72	FGF2			CD14	VCAM1	
VIM	CCL5	EZH2	COL4A1	CD3E	CCR5	ADAM12	CDK5	RCSD1	DLC1	C2CD4B	CCL3L1	DPP4			CCR2	VEGF	
VENTXP1	CCL4	EXOSC9	CD63	CD3D	C3AR1	ACTN4	CD36	P2RX5	DHFR	C2CD4A		CTSS					
VCAM1	CCL20	DOCK9	BZW2	CD37	ATP10D		CD33	MOCOS	DAPK1	B3GALT2		CSF1R					
USP9Y	BRIP1	DARS	BMI1	CCT6B	ARHGAP10		CD209	MMD	CXCR6	ANKRD22		CLIC3					
UQCRB	BIRC3	CD300E	ATHL1	C1GALT1C1	APOL3		CCL18	METRNL	CSRP2	ANK1		CLEC4A					
UPP1	AIM2	CASQ1	AQP3	AHSA1	ACAP1		CCL13	MDH1	CENPF	ADAMTS12		CLEC10A					
UPK3A		CASP3	ANXA2P2	ADRM1			CARD8	MAN1B1	CDC7	ABCB1		CHST12					
ULBP1		ATM	AHNAK				C1orf54	LTC4S	CDC25C	ABCA1		CECR1					
UBD			ABHD3				BTN3A2	ITGB4	BIRC5			CEBPA					
UBASH3A							AQP9	IRF1	ASB2			CDK5R1					
UBA52							ACP5	IL12A				CD84					
TYRO3							ABP1	IGF2				CD83					
TXNIP								ICAM3				CD200					
TXNDC3								HUNK				BCL6					
TULP2								HTR2B				B3GAT1					
TTK								HSD11B1									
TSSK6								HAVCR1									
TSPY3								GREM2									
TSPY2								GPR25									
TSLP								GFPT2									
TSGA10								GATM									
TRIB2								GAB3									
TREML4								FURIN									
TREML1								FCGR2C									
TREM2								FBXO30									
TREM1								FAM134B									
TRAT1								F12									
TRAF3IP2								ENC1									
TRAF1								EMP1									
TRADD								DUSP14									
TPTE								DOC2B									
TPPP2								DLEU7									
TPK1								DAB1									
TOX4								COL5A3									
TNIP2								COL4A4									
TNFSF9								COL23A1									
TNFSF4								CLEC7A									
TNFSF18								CHRM3									
TNFSF15								CFHR3									
TNFSF14								CD97									
TNFSF13B								CD96									
TNFSF13								CD70									
TNFRSF9								CD7									
TNFRSF8								CD68									
TNFRSF6B								CD6									
TNFRSF4								CD59									
TNFRSF25								CD53									
TNFRSF1A								CD52									
TNFRSF18								CD48									
TNFRSF17								CD47									
TNFRSF14								CD151									
TNFRSF13C								CALD1									
TNFRSF13B								BST1									
TNFRSF11A								BBS12									
TNFRSF10C								B3GALNT1									
TNFAIP2								ALCAM									
TMPRSS3								AHCYL2									
TMPRSS12								ADAM8									
TMIGD2																	
TMEM173																	
TMEM108																	
TMEFF2																	
TMEFF1																	
TMED2																	
TMBIM6																	
TLR9																	
TLR8																	
TIPIN																	
TIMM13																	
TIGIT																	
THUMPD2																	
THEG																	
THBD																	
TGFBR1																	
TGFB1																	
TFEC																	
TFDP3																	
TEX264																	
TEX15																	
TEX14																	
TEX101																	
TEKT5																	
TDRD6																	
TDRD1																	
TCL1A																	
TBX21																	
TAPBP																	
TAP2																	
TAP1																	
TAL1																	
TAGAP																	
TAF7L																	
TACSTD2																	
SYCP1																	
SYCE1																	
STX4																	
STEAP4																	
STAT5B																	
STAT5A																	
STAP1																	
STAC																	
STAB1																	
ST8SIA4																	
ST3GAL6																	
SSX7																	
SSX6																	
SSX5																	
SSX4																	
SSX3																	
SSX2																	
SSX1																	
SRA1																	
SPP1																	
SPO11																	
SPINLW1																	
SPIB																	
SPEF2																	
SPCS3																	
SPATA19																	
SPANXN5																	
SPANXN4																	
SPANXN3																	
SPANXN2																	
SPANXN1																	
SPANXE																	
SPANXC																	
SPANXB2																	
SPANXA2																	
SPAG9																	
SPAG8																	
SPAG6																	
SPAG4																	
SPAG17																	
SPAG1																	
SPACA3																	
SPA17																	
SP100																	
SOX5																	
SORL1																	
SNURF																	
SMAD4																	
SLCO6A1																	
SLC7A7																	
SLC6A4																	
SLC35B3																	
SLC25A37																	
SLC18A2																	
SLC15A3																	
SLAMF9																	
SLA																	
SKAP1																	
SIT1																	
SIRPG																	
SIRPA																	
SIK1																	
SIGLEC9																	
SIGLEC8																	
SIGLEC7																	
SIGLEC6																	
SIGLEC5																	
SIGLEC14																	
SIGLEC10																	
SIGLEC1																	
SH3KBP1																	
SH2D6																	
SFXN3																	
SETD7																	
SERTAD2																	
SEPX1																	
SEMG1																	
SELP																	
SELL																	
SELE																	
SEC14L1																	
SDPR																	
SDCBP																	
SCG2																	
SAV1																	
SAMSN1																	
SAGE1																	
S100A9																	
S100A8																	
S100A4																	
S100A12																	
RYR1																	
RUNX2																	
RTKN2																	
RRP12																	
RRAGD																	
RQCD1																	
RPS9																	
RPS7																	
RPS24																	
RPL37A																	
ROPN1																	
RNF17																	
RNF141																	
RNF128																	
RNF125																	
RNASE3																	
RNASE2																	
RHOA																	
RGS22																	
RGS16																	
RGS1																	
RETNLB																	
REPS1																	
RDX																	
RCSD1																	
RBMS3																	
RBM46																	
RARA																	
RALB																	
RAET1E																	
RAE1																	
RAB38																	
RAB27B																	
RAB1A																	
PVRL2																	
PVR																	
PTRH2																	
PTPN20A																	
PTGS2																	
PTGS1																	
PTGIR																	
PTGES2																	
PTGER2																	
PSMC4																	
PSAT1																	
PSAP																	
PRSS55																	
PRSS54																	
PRSS23																	
PROK2																	
PRM2																	
PRM1																	
PRDX1																	
PRC1																	
PRAME																	
PQBP1																	
POTEH																	
POTEG																	
POTEE																	
POTED																	
POTEC																	
POTEB																	
POTEA																	
PORCN																	
PNPLA6																	
PNOC																	
PLEK																	
PLAU																	
PLAC1																	
PLA2G4A																	
PKM2																	
PKD2L2																	
PIWIL2																	
PIWIL1																	
PILRA																	
PIK3IP1																	
PHRF1																	
PHLDA1																	
PELO																	
PDPN																	
PDIA4																	
PDGFRL																	
PDE6C																	
PDE4B																	
PDCD6																	
PDCD1LG2																	
PDCD1																	
PBK																	
PASD1																	
PARVG																	
PAGE5																	
PAGE4																	
PAGE3																	
PAGE2B																	
PAGE2																	
PAGE1																	
P2RY14																	
P2RY10																	
P2RX5																	
OTOA																	
OSBPL1A																	
OIP5																	
OGT																	
OFD1																	
ODF4																	
ODF3																	
ODF2																	
ODF1																	
NXF2B																	
NXF2																	
NUF2																	
NUCB2																	
NTRK1																	
NT5E																	
NRP2																	
NRP1																	
NR6A1																	
NR4A3																	
NPL																	
NOTCH3																	
NOS2																	
NOL4																	
NOL11																	
NLRP4																	
NKG7																	
NFKBIA																	
NFATC2IP																	
NEFL																	
NDUFB9																	
NCR2																	
NCR1																	
NCOA4																	
NCF1B																	
NCF1																	
NCAM1																	
NAA16																	
MYL6B																	
MYC																	
MS4A6A																	
MS4A2																	
MS4A1																	
MRC1																	
MPZL1																	
MPP1																	
MPL																	
MORC1																	
MOCOS																	
MNDA																	
MMP25																	
MMP15																	
MMP12																	
MMD																	
MLST8																	
MINPP1																	
MICB																	
MICAL3																	
MICA																	
MGAM																	
MFAP3L																	
METRNL																	
MEIS3P1																	
MDH1																	
MC5R																	
MBP																	
MARCO																	
MARCKSL1																	
MAPK7																	
MAN1B1																	
MAK																	
MAGED1																	
MAGEC3																	
MAGEC2																	
MAGEC1																	
MAGEB6																	
MAGEB4																	
MAGEB3																	
MAGEB2																	
MAGEB1																	
MAGEA9B																	
MAGEA8																	
MAGEA6																	
MAGEA5																	
MAGEA4																	
MAGEA3																	
MAGEA2																	
MAGEA12																	
MAGEA11																	
MAGEA10																	
MAGEA1																	
MAEL																	
LY6K																	
LUZP4																	
LTK																	
LTC4S																	
LTA																	
LST1																	
LSP1																	
LRRC42																	
LRRC32																	
LRP1																	
LRMP																	
LONRF3																	
LMNB1																	
LIPI																	
LIPA																	
LIME1																	
LILRB5																	
LILRA5																	
LGMN																	
LGALS9																	
LGALS1																	
LEMD1																	
LDHC																	
LDB3																	
LCORL																	
LCK																	
LAMP3																	
LAMP2																	
LAMC1																	
LAIR2																	
LAG3																	
L1CAM																	
KRT86																	
KRT80																	
KRT23																	
KNTC1																	
KLRK1																	
KLRG1																	
KLRF1																	
KLRC1																	
KLHL7																	
KLHL21																	
KLF5																	
KIRREL3																	
KIR3DL2																	
KIR3DL1																	
KIR2DS4																	
KIR2DL3																	
KIR2DL1																	
KIF11																	
KIAA0226																	
KIAA0100																	
KDR																	
KDM5B																	
KDM4C																	
KANK2																	
IVNS1ABP																	
ITK																	
ITIH2																	
ITGB4																	
ITGB2																	
ITGB1																	
ITGAM																	
ITGAL																	
ITGA9																	
ITGA4																	
ITGA2B																	
ISM2																	
IRF1																	
INPP5F																	
ILDR1																	
IL6R																	
IL6																	
IL5RA																	
IL4R																	
IL3RA																	
IL34																	
IL32																	
IL2RB																	
IL2RA																	
IL26																	
IL23A																	
IL21R																	
IL1RN																	
IL18BP																	
IL17RE																	
IL17RC																	
IL17RA																	
IL17F																	
IL17C																	
IL17A																	
IL12A																	
IL10RB																	
IL10																	
IKZF1																	
IGSF6																	
IGSF11																	
IGFBP5																	
IGF2BP3																	
IGF2																	
IGF1																	
IFT80																	
IFITM2																	
IFI16																	
IDO1																	
IDH3A																	
ICOSLG																	
ICOS																	
ICAM3																	
ICAM2																	
IARS																	
HVCN1																	
HUNK																	
HTR2B																	
HSPB9																	
HSPB6																	
HSPA6																	
HSPA4																	
HSD11B1																	
HS3ST1																	
HS2ST1																	
HRH1																	
HOXA1																	
HORMAD2																	
HORMAD1																	
HNMT																	
HLA-G																	
HLA-F																	
HLA-E																	
HLA-DRB1																	
HLA-DRA																	
HLA-DQB1																	
HLA-DQA2																	
HLA-DQA1																	
HLA-DPB1																	
HLA-DPA1																	
HLA-DOB																	
HLA-DOA																	
HLA-DMB																	
HLA-DMA																	
HLA-C																	
HLA-B																	
HLA-A																	
HK3																	
HIVEP2																	
HIGD1A																	
HHLA2																	
HEY1																	
HEMGN																	
HELLS																	
HDGFRP2																	
HDC																	
HDAC9																	
HCP5																	
HAVCR2																	
HAVCR1																	
HAPLN3																	
HAL																	
GZMM																	
GZMK																	
GZMH																	
GZMA																	
GUSB																	
GSTA4																	
GSS																	
GRIN1																	
GREM2																	
GRB2																	
GPX1																	
GPT2																	
GPSM3																	
GPRC5C																	
GPR77																	
GPR65																	
GPR44																	
GPR27																	
GPR25																	
GPR183																	
GPR18																	
GPR137B																	
GPATCH2																	
GPAT2																	
GNLY																	
GNG7																	
GNAI1																	
GMPR																	
GM2A																	
GLUD1																	
GLS2																	
GLIPR1																	
GIPR																	
GFPT2																	
GEMIN6																	
GDE1																	
GBP3																	
GATM																	
GATA3																	
GATA2																	
GAGE8																	
GAGE4																	
GAGE2A																	
GAGE13																	
GAGE12J																	
GAGE12F																	
GAGE12D																	
GAGE1																	
GABARAP																	
GAB3																	
FZR1																	
FZD2																	
FYN																	
FUT5																	
FUT4																	
FURIN																	
FUCA1																	
FTL																	
FTHL17																	
FSTL1																	
FST																	
FRMD4A																	
FRAT2																	
FPR2																	
FPR1																	
FOXP3																	
FOSL1																	
FOSB																	
FN1																	
FMR1NB																	
FLT3LG																	
FKBP4																	
FGF7																	
FGF2																	
FGF18																	
FFAR2																	
FES																	
FERMT3																	
FCRLA																	
FCRL6																	
FCRL5																	
FCRL4																	
FCRL3																	
FCRL2																	
FCRL1																	
FCN1																	
FCGR3B																	
FCGR3A																	
FCGR2C																	
FCGR2B																	
FCGR2A																	
FCGR1A																	
FCER1G																	
FCER1A																	
FCAR																	
FBXO39																	
FBXO30																	
FATE1																	
FASLG																	
FAM49A																	
FAM46D																	
FAM27A																	
FAM198B																	
FAM179A																	
FAM134B																	
FAM133A																	
FAM129C																	
FAM119A																	
FADD																	
FABP5																	
FABP1																	
F13A1																	
F12																	
F11R																	
EZH2																	
EXOSC9																	
EXOC6																	
EXO1																	
EVI5																	
ETS1																	
ESCO2																	
ERBB3																	
ENTPD5																	
ENTPD1																	
ENPP1																	
ENG																	
ENC1																	
EMR4P																	
EMR3																	
EMR1																	
EMP3																	
EMP1																	
ELOVL4																	
ELMOD3																	
ELMO2																	
EIF4A1																	
EIF3M																	
EIF1																	
EGR3																	
DYRK2																	
DYNLL1																	
DUSP6																	
DUSP2																	
DUSP14																	
DSCR8																	
DPYD																	
DPPA2																	
DPP4																	
DOCK9																	
DOC2B																	
DNAJC12																	
DNAJB8																	
DMRT1																	
DLL4																	
DLEU7																	
DLC1																	
DKKL1																	
DHFR																	
DGKH																	
DEPDC5																	
DDX55																	
DDX53																	
DDX43																	
DDX17																	
DCAF12																	
DAZAP2																	
DAXX																	
DARS																	
DAPP1																	
DAPK2																	
DAPK1																	
DACH1																	
DAB2																	
DAB1																	
CYTH1																	
CYP27B1																	
CYP27A1																	
CYLD																	
CYBB																	
CXorf48																	
CXCR6																	
CXCR4																	
CXCR2																	
CXCR1																	
CXCL12																	
CXCL1																	
CTSZ																	
CTSS																	
CTSG																	
CTSD																	
CTPS																	
CTNNA2																	
CTLA4																	
CTCFL																	
CTBS																	
CTAGE5																	
CTAGE1																	
CTAG2																	
CTAG1B																	
CT47B1																	
CT47A9																	
CT47A7																	
CT47A6																	
CT47A2																	
CT47A11																	
CT47A10																	
CT47A1																	
CT45A6																	
CT45A5																	
CT45A4																	
CT45A3																	
CT45A2																	
CT45A1																	
CSTB																	
CSTA																	
CSRP2																	
CSNK2A2																	
CSF3R																	
CSF2RA																	
CSF2																	
CSF1R																	
CSF1																	
CSE1L																	
CSAG2																	
CSAG1																	
CRYBB1																	
CRTC3																	
CRTC2																	
CRTAM																	
CRISP2																	
CREB5																	
CREB3L4																	
CREB1																	
CR2																	
CPXCR1																	
CPM																	
CPA3																	
COX7A2L																	
COX6B2																	
COL5A3																	
COL4A4																	
COL4A1																	
COL23A1																	
CNR2																	
CNR1																	
CNPY4																	
CNPY3																	
CMKLR1																	
CMA1																	
CLTB																	
CLIC3																	
CLIC2																	
CLECL1																	
CLEC9A																	
CLEC7A																	
CLEC5A																	
CLEC4C																	
CLEC4A																	
CLEC1A																	
CLEC17A																	
CLEC10A																	
CLCN5																	
CHST15																	
CHST12																	
CHRM3																	
CFP																	
CFLAR																	
CFL1																	
CFHR3																	
CETN3																	
CEP55																	
CEP290																	
CENPF																	
CECR1																	
CEBPA																	
CEACAM8																	
CEACAM3																	
CDKN3																	
CDK5R1																	
CDK5																	
CDHR1																	
CDH3																	
CDH2																	
CDC7																	
CDC5L																	
CDC25C																	
CDA																	
CD97																	
CD96																	
CD8A																	
CD86																	
CD84																	
CD83																	
CD80																	
CD79B																	
CD72																	
CD70																	
CD7																	
CD69																	
CD68																	
CD63																	
CD6																	
CD59																	
CD55																	
CD53																	
CD52																	
CD48																	
CD47																	
CD40LG																	
CD40																	
CD4																	
CD3G																	
CD3E																	
CD3D																	
CD38																	
CD37																	
CD36																	
CD33																	
CD302																	
CD300LF																	
CD300LB																	
CD300E																	
CD28																	
CD276																	
CD274																	
CD27																	
CD244																	
CD22																	
CD209																	
CD207																	
CD200																	
CD2																	
CD1D																	
CD19																	
CD180																	
CD160																	
CD151																	
CD14																	
CD109																	
CD101																	
CCT6B																	
CCR9																	
CCR7																	
CCR5																	
CCR2																	
CCNB1																	
CCNA2																	
CCNA1																	
CCL5																	
CCL4																	
CCL3L3																	
CCL3L1																	
CCL26																	
CCL23																	
CCL21																	
CCL20																	
CCL18																	
CCL14																	
CCL13																	
CCL1																	
CCDC88A																	
CCDC83																	
CCDC65																	
CCDC62																	
CCDC36																	
CCDC33																	
CCDC110																	
CBX6																	
CASQ1																	
CASP5																	
CASP3																	
CASC5																	
CARD8																	
CAPZA1																	
CAPG																	
CAMTA1																	
CALR3																	
CALD1																	
CAGE1																	
CABYR																	
CA2																	
C5orf15																	
C3AR1																	
C2CD4B																	
C2CD4A																	
C21orf99																	
C1orf54																	
C1orf183																	
C1orf162																	
C1QC																	
C1QB																	
C1GALT1C1																	
C15orf60																	
C11orf75																	
C10orf54																	
BZW2																	
BTNL8																	
BTNL2																	
BTN3A2																	
BTN2A2																	
BTLA																	
BST2																	
BST1																	
BRIP1																	
BRDT																	
BMI1																	
BLK																	
BIRC5																	
BIRC3																	
BCL6																	
BCL2L1																	
BCL2																	
BCL11B																	
BBS12																	
BASP1																	
BAGE2																	
BAGE																	
BACH2																	
B3GAT1																	
B3GALT2																	
B3GALNT1																	
B2M																	
AXL																	
ATP6V1B2																	
ATP6V1A																	
ATP5L																	
ATP5B																	
ATP5A1																	
ATP10D																	
ATM																	
ATIC																	
ATHL1																	
ATAD2																	
ASGR2																	
ASGR1																	
ASB2																	
ARX																	
ARMC3																	
ARL1																	
ARHGAP25																	
ARHGAP15																	
ARHGAP10																	
AQP9																	
AQP3																	
APOL3																	
APOBEC3A																	
ANXA5																	
ANXA2P2																	
ANKRD45																	
ANKRD22																	
ANK1																	
AMT																	
AMPD2																	
ALOX15																	
ALDH9A1																	
ALDH3A2																	
ALDH1A2																	
ALCAM																	
AKT3																	
AKR7A3																	
AKNA																	
AKAP4																	
AKAP3																	
AIM2																	
AIF1																	
AICDA																	
AHSA1																	
AHNAK																	
AHCYL2																	
AHCYL1																	
ADRM1																	
ADORA2A																	
ADCY9																	
ADAMTS3																	
ADAMTS12																	
ADAM8																	
ADAM29																	
ADAM28																	
ADAM2																	
ADAM12																	
ACTR3																	
ACTN4																	
ACTL8																	
ACTG1																	
ACRBP																	
ACP5																	
ACAP1																	
ACADM																	
ABTB1																	
ABP1																	
ABHD3																	
ABCD1																	
ABCB1																	
ABCA1																	
ABAT																	
